Timestep,Particle_0_MSD,Particle_0_Noise_X,Particle_0_Noise_Y,Particle_1_MSD,Particle_1_Noise_X,Particle_1_Noise_Y,Particle_2_MSD,Particle_2_Noise_X,Particle_2_Noise_Y,Particle_3_MSD,Particle_3_Noise_X,Particle_3_Noise_Y,Particle_4_MSD,Particle_4_Noise_X,Particle_4_Noise_Y
12,0.059191733861392745,0.007518708760618616,0.1227050059970152,0.056987927534253836,-0.07491792406291302,0.02253427536890673,0.058439530215262124,-0.05274693236138564,0.03616765854236551,0.059390895438214054,0.050373604621242574,0.05823959599840627,0.06031148535344295,-0.1070594338235602,-0.08897461017865688
13,0.06978138578669821,-0.08748203800761191,-0.22763735085920023,0.0668381739883287,0.028488989257219894,0.020709386223295156,0.06868275600588739,0.11423264545383519,-0.11208223655203874,0.06992698434126121,-0.15991364864470128,-0.04067230830465839,0.07118296171175706,-0.008834265900909504,0.09213496029864963
14,0.08138233124692791,0.12879824738019383,-0.04228119610855433,0.07747639085012867,0.02606628331504074,-0.14005079602749432,0.07974845205367437,0.07198372908713906,0.14465039359465778,0.08138029175251862,-0.05146415492181471,-0.11102233865095999,0.08305991076659498,0.027798306474270854,0.14548106449917428
15,0.09397744739856621,-0.17628324838426954,-0.10266407347357309,0.08889690714065972,0.024707737780630318,0.008733105791540921,0.09167232604522867,0.07024065691510653,0.009674989495911644,0.09373486120852795,-0.010954929146920355,-0.06040122749251271,0.09595413712225428,0.0884606789862693,-0.09191801387207167
16,0.10761916885581929,0.17929225913308733,0.02239552780897347,0.10111676666333547,-0.08053718270503439,0.059644233956067105,0.10446407913405309,0.027097453884619274,0.03041929195534216,0.1069904981154847,0.18078761587991904,0.03507851757548093,0.10986376390715949,-0.03036615238739961,-0.1955276426310101
17,0.12229908064737605,0.08858031376017195,0.02300095237628365,0.11413470681587193,0.21052024012080106,-0.1113054427063712,0.11812279363818584,0.12218005525188132,0.1749581305272499,0.12116833928003512,-0.10144188771679996,0.07828702435813464,0.12486260575728743,-0.09654979858290558,0.0030161572535124903
18,0.13806702362468198,-0.0986786045739545,0.14820224936157908,0.1279172095944186,-0.025325491002521017,-0.12144592807526616,0.13269718573232545,-0.09644042546116924,-0.04301566355918369,0.13630037799616773,0.00495785204847066,-0.016134421165179373,0.14098880894903051,-0.14126684181710272,0.12133164091856419
19,0.1549451642137088,0.11453891885473529,-0.053155693724305675,0.14249459200948394,-0.08943499126754029,-0.0683959501799097,0.14815453720637006,-0.05356133384254117,0.08566171046256776,0.15239471303027552,0.051504267327618786,0.0715658244757891,0.15829847012859186,0.042137981109808265,-0.05938401622466388
20,0.1730109319895956,0.04079250175142854,-0.012497578635826605,0.15789573659858858,-0.28325195707762085,0.0016890716242483677,0.16454379559300697,-0.14414820616097776,-0.020945256564907564,0.16945109047944668,-0.14045642570696418,-0.14164976350794675,0.17679746279151812,0.12351218219485281,-0.03200919809443903
21,0.19229864559903032,0.21876498745500195,-0.1894473068836965,0.17410544640178227,-0.056370017505790106,-0.00830336034927732,0.18185985468190669,-0.020074916355286413,-0.12321423298148326,0.18751132098541187,0.04478617477517938,0.03710940513139221,0.19649996442396722,0.004796144598154671,0.03318438632585156
22,0.21284729536472177,-0.10299346709057469,-0.07490314709550956,0.19112522906889234,0.121737356975163,0.0820555419006373,0.2000565776938293,-0.025173068199250512,0.11336234718590493,0.2065718113924971,-0.1062297155166374,-0.11982833857471582,0.21752218681057614,0.08635966592465905,0.0579643229322647
23,0.23473633460828025,-0.050707561552350566,-0.1668451551911048,0.2090169851247701,-0.13283149514650508,0.0077473718737229875,0.21918055081608673,0.15135979746527783,-0.061336081251828295,0.22661216388099184,-0.06427573029485581,0.17015210704207348,0.239877371024779,-0.11082574618159868,-0.1661243162706422
24,0.25802149908322025,0.17492242025271545,-0.1018249644328228,0.22775269557160732,-0.06992382172851277,-0.04923580739935131,0.2392120016007174,0.054270439797672404,-0.10388597897868806,0.2477358741373096,0.013571859054799863,0.016491014342655732,0.26360168692493635,-0.06943579707333801,0.03299794609568569
25,0.2826892869454038,-0.02757021929208664,0.09406961438226823,0.24733040298816183,0.049616490559793634,0.004426797334911382,0.2601959204290406,0.019153929944483016,-0.0559742473595482,0.2698926086733883,-0.019394940044265365,-0.06633043217745173,0.2887843442819458,-0.029477928429974355,0.13461782636266248
26,0.3088306134226154,0.12147970568943851,-0.05975686357669662,0.2677606660642373,-0.181203890112962,0.06405335916310338,0.28214867232009366,-0.12013033497678341,0.06918811448550873,0.29317449319434596,0.13349032478434442,0.06297498783986742,0.315451277865832,0.10714113018874914,0.20200491069296472
