Timestep,Particle_0_MSD,Particle_0_Noise_X,Particle_0_Noise_Y,Particle_1_MSD,Particle_1_Noise_X,Particle_1_Noise_Y,Particle_2_MSD,Particle_2_Noise_X,Particle_2_Noise_Y,Particle_3_MSD,Particle_3_Noise_X,Particle_3_Noise_Y,Particle_4_MSD,Particle_4_Noise_X,Particle_4_Noise_Y
0,0.0,0.11797163447007009,-0.08982079394556783,0.0,0.08347954192304284,0.029656138432897074,0.0,-0.10378298765154821,-0.007580374502818544,0.0,0.09729635337557875,0.07955954638959417,0.0,0.14954342528834738,0.03381812519933197
1,0.0003999367986870035,0.017483301199147133,-0.12168548923592391,0.00039955935252937555,0.10493473923208657,0.1325105661514201,0.00040059243813384964,0.07345010648800457,-0.09544972619614206,0.00040105144920479666,-0.07511794246639285,-0.11304280531205302,0.0004000566019934756,0.07699773599307935,0.12683895224039018
2,0.0016028212810648523,-0.0237391961206669,0.18720056804723043,0.0015968066886159827,-0.0019442140899548193,-0.09325916565610812,0.0016017314768765028,-0.129494247447986,-0.010511850474641373,0.0016081505098643719,-0.19949615715576494,-0.130019284159344,0.0016040954512569427,0.15430676518590838,0.13232638071512368
3,0.003609241465857188,0.22757612975672037,0.04062266850499283,0.0035874516476116325,-0.04319422016083723,0.185996700648693,0.0036057814699413165,0.12004115484133984,0.18160877902438152,0.003628387004889957,-0.011093193562951017,0.09763091264811027,0.0036172976210182527,-0.1452849459072361,0.07840064109141684
4,0.006417881018095501,-0.07364121722576464,0.057950440154985405,0.006373553384921042,-0.054727983633752135,-0.12280540191236243,0.006423064831061725,0.23741417434005965,-0.031072426461719378,0.0064698880448884055,-0.06265241826885438,-0.21921300562419788,0.006450254007912624,0.08514020923788287,-0.09879358457965415
5,0.010038065680638732,-0.02702033186775383,0.09476169376614091,0.009948666128956951,-0.02501226010745113,0.13010524331622997,0.01004913514201573,-0.06764130204840386,-0.2230329907625889,0.010132226098437471,0.10515930406716663,-0.08435449622454708,0.010113182432021115,-0.15802519367435272,0.0016053418643930874
6,0.014486502106632774,0.1388582269040288,-0.26593513570493726,0.014317982076812369,-0.2078376654918943,-0.12406400776875709,0.014480873170402836,-0.11775283652749365,0.020370179813884958,0.01461991497266751,0.028984226416846788,-0.025482126837236458,0.014626256247745082,-0.014987796676246168,0.05277647609316608
7,0.019775520220958458,-0.10877809352617618,0.09294825073447698,0.019474185795796097,-0.17628669288710402,0.11441352026164182,0.019732310324519386,-0.13193478891374055,-0.022624521900867615,0.01993595285133909,0.10645686780267,0.011960566888706947,0.02001199107143897,0.081669851771357,0.06186619597099322
8,0.025903910556330553,0.12056280779528372,0.03431350510168737,0.025414601388800286,0.13238748037872133,-0.11318161421326958,0.02580742278332191,-0.16393962676640564,0.046254855264754056,0.026098650061620793,0.024002273768504622,0.030555432037725844,0.026262087510777774,0.09329966426505681,0.04216849239122599
9,0.03289306543661723,-0.06346050352933567,0.09957522366813559,0.032134113089081255,-0.027689883979637814,-0.0025389046384487156,0.032709357982105725,-0.017303487869691783,-0.06881596901002726,0.03312039292164846,0.24722794622726602,-0.049586617800728476,0.03339863402238978,0.10235215224656602,-0.10936289460633951
10,0.0407620948421762,-0.025925044258022556,0.1233686921376036,0.03962785457425083,0.06489242105069956,-0.13919963371880104,0.04044285576557844,-0.08383874911178853,0.052066442053420904,0.040991799313819285,0.08470790099850345,0.12225009148868804,0.041443595817750915,0.12145092853053481,-0.00895226102479056
11,0.0495154289036988,-0.0033686526908716023,-0.09503481831017348,0.04791928461545274,-0.08705726162617562,-0.09842723752925037,0.04902645281325928,0.09709007319343095,-0.06174466124590982,0.049741726221869925,-0.19121031610848604,0.03968386658488053,0.05041154401492378,0.15145175625895815,0.0773083189177527
